Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
279,00:00:11.637,6.684254385964913,7.612587719298245,5.421535087719298,7.018640350877193
280,00:00:11.678,7.2172076023391805,8.748486842105264,5.4584868421052635,7.444649122807018
281,00:00:11.720,6.351776315789473,6.912390350877193,5.226293859649123,6.916644736842105
282,00:00:11.762,6.550248538011696,7.757609649122807,5.079057017543859,6.814078947368421
283,00:00:11.803,6.625372807017544,7.803355263157894,5.091293859649123,6.981469298245614
284,00:00:11.845,6.100869883040936,6.947171052631579,4.890394736842105,6.465043859649123
285,00:00:11.887,6.652112573099415,7.81890350877193,5.120241228070175,7.01719298245614
286,00:00:11.929,6.23406432748538,7.008991228070175,4.980635964912281,6.712565789473684
287,00:00:11.970,6.355138888888889,7.4158333333333335,5.165855263157895,6.483728070175439
288,00:00:12.012,6.954729532163742,8.396973684210526,5.385350877192982,7.081864035087719
289,00:00:12.054,6.3632163742690055,7.247017543859649,5.25796052631579,6.584671052631579
290,00:00:12.095,6.554788011695906,7.622521929824561,5.3467982456140355,6.695043859649123
291,00:00:12.137,6.978530701754386,8.68438596491228,5.390482456140351,6.860723684210527
292,00:00:12.179,6.02390350877193,6.862061403508772,5.039385964912281,6.170263157894737
293,00:00:12.221,6.305804093567251,7.419978070175438,4.991864035087719,6.505570175438597
294,00:00:12.262,46.058969298245614,43.003530701754386,45.17614035087719,49.997236842105266
295,00:00:12.304,9.072295321637426,2.4874780701754386,12.678201754385965,12.051206140350876
296,00:00:12.346,9.290255847953217,2.5620175438596493,12.996315789473684,12.312434210526316
297,00:00:12.387,9.318048245614035,2.64390350877193,12.891337719298246,12.41890350877193
298,00:00:12.429,9.001747076023392,2.586688596491228,12.462105263157895,11.956447368421053
299,00:00:12.471,8.849415204678364,2.4200219298245615,12.286030701754386,11.84219298245614
300,00:00:12.512,8.738823099415205,2.447938596491228,12.05234649122807,11.716184210526317
301,00:00:12.554,8.745913742690059,2.4113815789473683,12.119342105263158,11.70701754385965
302,00:00:12.596,8.779773391812865,2.536359649122807,11.983662280701754,11.819298245614036
303,00:00:12.638,8.806279239766083,2.6512719298245613,11.861929824561404,11.90563596491228
304,00:00:12.679,8.699605263157894,2.325657894736842,12.009232456140351,11.763925438596491
305,00:00:12.721,8.884108187134503,2.689956140350877,11.89576754385965,12.066600877192982
306,00:00:12.763,8.762361111111112,2.3305043859649124,11.95530701754386,12.001271929824561
307,00:00:12.804,8.837258771929823,2.5376973684210524,11.919605263157894,12.054473684210526
